level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
1,1,0,0,0,0,0,0,1653,2339,-1,,others
2,1,1,0,0,0,44,260,1578,104,-1,,others
3,1,1,1,0,0,44,260,1578,104,-1,,others
4,1,1,1,1,0,44,260,1578,104,-1,,others
5,1,1,1,1,1,44,260,1578,104,95, ,others
2,1,2,0,0,0,759,40,111,43,-1,,others
3,1,2,1,0,0,759,40,111,43,-1,,others
4,1,2,1,1,0,759,40,111,43,-1,,others
5,1,2,1,1,1,759,40,111,43,14,af,others
2,1,3,0,0,0,669,89,334,28,-1,,others
3,1,3,1,0,0,669,89,334,28,-1,,others
4,1,3,1,1,0,669,89,334,28,-1,,others
5,1,3,1,1,1,669,89,334,28,90,EUROCORPORATION,others
2,1,4,0,0,0,742,124,188,7,-1,,others
3,1,4,1,0,0,742,124,188,7,-1,,others
4,1,4,1,1,0,742,124,188,7,-1,,others
5,1,4,1,1,1,742,124,74,7,34,CONSULENZA,others
5,1,4,1,1,2,820,124,5,7,53,E,others
5,1,4,1,1,3,829,124,53,7,79,GESTIONE,others
5,1,4,1,1,4,888,124,42,7,73,RIFLUTL,others
2,1,5,0,0,0,759,139,156,62,-1,,others
3,1,5,1,0,0,759,139,156,62,-1,,others
4,1,5,1,1,0,759,139,156,62,-1,,others
5,1,5,1,1,1,759,139,156,62,67,ow,others
2,1,6,0,0,0,48,410,1570,7,-1,,others
3,1,6,1,0,0,48,410,1570,7,-1,,others
4,1,6,1,1,0,48,410,1570,7,-1,,others
5,1,6,1,1,1,48,410,1570,7,95, ,others
2,1,7,0,0,0,48,520,1570,6,-1,,others
3,1,7,1,0,0,48,520,1570,6,-1,,others
4,1,7,1,1,0,48,520,1570,6,-1,,others
5,1,7,1,1,1,48,520,1570,6,95, ,others
2,1,8,0,0,0,48,574,1570,7,-1,,others
3,1,8,1,0,0,48,574,1570,7,-1,,others
4,1,8,1,1,0,48,574,1570,7,-1,,others
5,1,8,1,1,1,48,574,1570,7,95, ,others
2,1,9,0,0,0,48,627,1570,6,-1,,others
3,1,9,1,0,0,48,627,1570,6,-1,,others
4,1,9,1,1,0,48,627,1570,6,-1,,others
5,1,9,1,1,1,48,627,1570,6,95, ,others
2,1,10,0,0,0,255,360,2,324,-1,,others
3,1,10,1,0,0,255,360,2,324,-1,,others
4,1,10,1,1,0,255,360,2,324,-1,,others
5,1,10,1,1,1,255,360,2,324,95, ,others
2,1,11,0,0,0,66,378,1472,294,-1,,others
3,1,11,1,0,0,68,378,1305,19,-1,,others
4,1,11,1,1,0,68,378,1305,19,-1,,others
5,1,11,1,1,1,68,378,158,19,92,PRODUTTORE,produttore_key
5,1,11,1,1,2,274,378,134,18,91,CONSORZIO,produttore_value
5,1,11,1,1,3,417,378,95,18,92,ELETTRA,produttore_value
5,1,11,1,1,4,519,378,39,18,95,SRL,produttore_value
5,1,11,1,1,5,863,378,92,19,92,CLIENTE,cliente_key
5,1,11,1,1,6,1089,378,134,18,91,CONSORZIO,cliente_value
5,1,11,1,1,7,1232,378,95,18,91,ELETTRA,cliente_value
5,1,11,1,1,8,1334,378,39,18,93,SRL,cliente_value
3,1,11,2,0,0,68,442,1470,58,-1,,others
4,1,11,2,1,0,68,442,1470,41,-1,,others
5,1,11,2,1,1,68,459,54,20,96,Unit.,unitloc_key
5,1,11,2,1,2,132,460,42,19,96,Loc.,unitloc_key
5,1,11,2,1,3,274,443,185,37,62,CAMPIBISENZIO,unitloc_value
5,1,11,2,1,4,467,453,7,2,62,-,unitloc_value
5,1,11,2,1,5,481,443,33,18,84,Via,unitloc_value
5,1,11,2,1,6,525,443,59,18,96,Parco,unitloc_value
5,1,11,2,1,7,593,442,51,19,96,della,unitloc_value
5,1,11,2,1,8,654,442,104,19,93,Marinella,unitloc_key
5,1,11,2,1,9,767,443,68,18,87,50013),unitloc_key
5,1,11,2,1,10,863,460,33,23,51,4,unitloc_value
5,1,11,2,1,11,897,461,85,18,34,store,unitloc_value
5,1,11,2,1,12,1088,459,124,19,94,Alessandro,unitloc_value
5,1,11,2,1,13,1221,460,78,18,92,Barone,unitloc_value
5,1,11,2,1,14,1307,470,7,2,92,-,unitloc_value
5,1,11,2,1,15,1324,459,56,19,93,Mob.,unitloc_value
5,1,11,2,1,16,1389,458,149,24,88,335/5942201,unitloc_value
4,1,11,2,2,0,274,476,207,24,-1,,unitloc_value
5,1,11,2,2,1,274,482,60,18,92,campi,unitloc_value
5,1,11,2,2,2,336,476,87,19,92,bisenzio,unitloc_value
5,1,11,2,2,3,426,476,55,24,80,(Fl),unitloc_value
3,1,11,3,0,0,68,540,1174,24,-1,,unitloc_value
4,1,11,3,1,0,68,540,1174,24,-1,,unitloc_value
5,1,11,3,1,1,68,541,113,20,90,Referente,referente_key
5,1,11,3,1,2,275,541,89,19,93,Raffaele,referente_value
5,1,11,3,1,3,372,540,94,24,92,/Matteo,referente_value
5,1,11,3,1,4,474,542,31,18,96,OK,referente_value
5,1,11,3,1,5,863,542,26,19,93,CF,cfproduttore_key
5,1,11,3,1,6,898,541,125,20,92,Produttore,cfproduttore_key
5,1,11,3,1,7,1089,542,153,18,96,2093750970,cfproduttore_value
3,1,11,4,0,0,66,593,1318,25,-1,,others
4,1,11,4,1,0,66,593,1318,25,-1,,others
5,1,11,4,1,1,66,594,102,20,92,Telefono,telefono_key
5,1,11,4,1,2,274,593,290,24,92,3272855870/3427151273,telefono_value
5,1,11,4,1,3,864,594,61,20,96,Email,emailcliente_key
5,1,11,4,1,4,933,594,80,20,96,Cliente,emailcliente_key
5,1,11,4,1,5,1090,594,294,24,82,p.gori@consorzioelettra.it,emailcliente_value
3,1,11,5,0,0,68,647,1316,25,-1,,others
4,1,11,5,1,0,68,647,1316,25,-1,,others
5,1,11,5,1,1,68,649,52,19,93,Data,datarichiesta_key
5,1,11,5,1,2,129,648,101,20,92,Richiesta,datarichiesta_key
5,1,11,5,1,3,292,647,132,24,80,23-02-2022,datarichiesta_value
5,1,11,5,1,4,0,0,1653,2339,80,|,others
5,1,11,5,1,5,469,648,73,20,92,Orario,orariorichiesta_key
5,1,11,5,1,6,550,648,96,20,92,richiesta,orariorichiesta_key
5,1,11,5,1,7,726,649,62,18,96,08:00,orariorichiesta_value
5,1,11,5,1,8,864,648,61,20,92,Email,emailproduttore_key
5,1,11,5,1,9,934,648,125,20,92,Produttore,emailproduttore_key
5,1,11,5,1,10,0,0,1653,2339,86,|,others
5,1,11,5,1,11,1090,648,294,24,86,p.gori@consorzioelettra.it,emailproduttore_value
2,1,12,0,0,0,847,683,771,4,-1,,others
3,1,12,1,0,0,847,683,771,4,-1,,others
4,1,12,1,1,0,847,683,771,4,-1,,others
5,1,12,1,1,1,847,683,771,4,95, ,others
2,1,13,0,0,0,44,680,807,78,-1,,others
3,1,13,1,0,0,44,680,807,78,-1,,others
4,1,13,1,1,0,44,680,807,78,-1,,others
5,1,13,1,1,1,44,680,807,78,95, ,others
2,1,14,0,0,0,1070,360,3,393,-1,,others
3,1,14,1,0,0,1070,360,3,393,-1,,others
4,1,14,1,1,0,1070,360,3,393,-1,,others
5,1,14,1,1,1,1070,360,3,393,95, ,others
2,1,15,0,0,0,847,749,771,5,-1,,others
3,1,15,1,0,0,847,749,771,5,-1,,others
4,1,15,1,1,0,847,749,771,5,-1,,others
5,1,15,1,1,1,847,749,771,5,95, ,others
2,1,16,0,0,0,48,802,799,5,-1,,others
3,1,16,1,0,0,48,802,799,5,-1,,others
4,1,16,1,1,0,48,802,799,5,-1,,others
5,1,16,1,1,1,48,802,799,5,95, ,others
2,1,17,0,0,0,49,360,2,496,-1,,others
3,1,17,1,0,0,49,360,2,496,-1,,others
4,1,17,1,1,0,49,360,2,496,-1,,others
5,1,17,1,1,1,49,360,2,496,95, ,others
2,1,18,0,0,0,845,360,2,496,-1,,others
3,1,18,1,0,0,845,360,2,496,-1,,others
4,1,18,1,1,0,845,360,2,496,-1,,others
5,1,18,1,1,1,845,360,2,496,95, ,others
2,1,19,0,0,0,266,874,366,30,-1,,others
3,1,19,1,0,0,266,874,366,30,-1,,others
4,1,19,1,1,0,266,874,366,30,-1,,others
5,1,19,1,1,1,266,874,161,30,87,VEICOLO,others
5,1,19,1,1,2,441,874,191,30,87,RICHIESTO,others
2,1,20,0,0,0,44,852,807,71,-1,,others
3,1,20,1,0,0,44,852,807,71,-1,,others
4,1,20,1,1,0,44,852,807,71,-1,,others
5,1,20,1,1,1,44,852,807,71,95, ,others
2,1,21,0,0,0,48,957,799,4,-1,,others
3,1,21,1,0,0,48,957,799,4,-1,,others
4,1,21,1,1,0,48,957,799,4,-1,,others
5,1,21,1,1,1,48,957,799,4,95, ,others
2,1,22,0,0,0,68,705,1103,141,-1,,others
3,1,22,1,0,0,68,705,1103,141,-1,,others
4,1,22,1,1,0,863,705,276,27,-1,,others
5,1,22,1,1,1,863,710,38,18,91,ZTL,others
5,1,22,1,1,2,1112,705,27,27,44,O,others
4,1,22,1,2,0,68,765,1085,26,-1,,others
5,1,22,1,2,1,68,769,90,20,91,Mattina,mattina_key
5,1,22,1,2,2,229,769,56,20,95,Dalle,mattina_value
5,1,22,1,2,3,377,770,62,18,95,08:00,mattina_value
5,1,22,1,2,4,527,769,43,20,96,Alle,mattina_value
5,1,22,1,2,5,694,770,63,18,94,00:00,mattina_value
5,1,22,1,2,6,857,765,59,25,95,PER,others
5,1,22,1,2,7,927,765,38,25,89,LA,others
5,1,22,1,2,8,976,765,177,26,89,LOGISTICA:,others
4,1,22,1,3,0,68,822,1103,24,-1,,others
5,1,22,1,3,1,68,822,129,24,92,Pomeriggio,pomeriggio_key
5,1,22,1,3,2,0,0,1653,2339,78,|,others
5,1,22,1,3,3,229,822,56,20,78,Dalle,pomeriggio_value
5,1,22,1,3,4,527,822,43,20,96,Alle,pomeriggio_value
5,1,22,1,3,5,694,823,61,18,96,18:00,pomeriggio_value
5,1,22,1,3,6,863,823,74,18,93,SCHEDA,others
5,1,22,1,3,7,938,823,88,18,93,FATTA,others
5,1,22,1,3,8,1035,823,30,18,93,DA,others
5,1,22,1,3,9,1074,823,97,18,92,MATILDE,others
2,1,23,0,0,0,864,857,734,192,-1,,others
3,1,23,1,0,0,864,857,458,18,-1,,others
4,1,23,1,1,0,864,857,458,18,-1,,others
5,1,23,1,1,1,864,857,93,18,96,CAMBIO,others
5,1,23,1,1,2,965,857,12,18,93,2,others
5,1,23,1,1,3,986,857,96,18,92,CASSONI,others
5,1,23,1,1,4,1091,857,118,18,92,SCOPERTO,others
5,1,23,1,1,5,1219,857,30,18,93,DA,others
5,1,23,1,1,6,1257,857,65,18,92,30MC,others
3,1,23,2,0,0,864,888,734,126,-1,,others
4,1,23,2,1,0,864,888,606,24,-1,,others
5,1,23,2,1,1,864,890,108,18,91,CHIAMARE,others
5,1,23,2,1,2,975,890,45,18,93,30,others
5,1,23,2,1,3,1029,890,83,18,91,MINUTI,others
5,1,23,2,1,4,1123,890,73,18,96,PRIMA,others
5,1,23,2,1,5,1205,890,107,18,93,RAFFAELE,others
5,1,23,2,1,6,1320,888,150,24,92,327/2855870,others
4,1,23,2,2,0,864,924,701,18,-1,,others
5,1,23,2,2,1,864,924,121,18,92,CHIAMARE,others
5,1,23,2,2,2,994,924,92,18,96,GIORNO,others
5,1,23,2,2,3,1096,924,73,18,96,PRIMA,others
5,1,23,2,2,4,1178,924,40,18,92,PER,others
5,1,23,2,2,5,1226,924,145,18,89,CONFERMARE,others
5,1,23,2,2,6,1375,924,75,18,92,DATA,others
5,1,23,2,2,7,1459,924,10,18,89,E,others
5,1,23,2,2,8,1478,924,87,18,92,ORARIO,others
4,1,23,2,3,0,864,956,734,25,-1,,others
5,1,23,2,3,1,864,956,734,25,70,"https://www.google.com/maps/@43.8511557,11.141248,3a,75y,",others
4,1,23,2,4,0,864,990,407,24,-1,,others
