level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
1,1,0,0,0,0,0,0,1653,2339,-1,,others
2,1,1,0,0,0,759,40,110,43,-1,,others
3,1,1,1,0,0,759,40,110,43,-1,,others
4,1,1,1,1,0,759,40,110,43,-1,,others
5,1,1,1,1,1,759,40,110,43,29,as,others
2,1,2,0,0,0,668,89,335,28,-1,,others
3,1,2,1,0,0,668,89,335,28,-1,,others
4,1,2,1,1,0,668,89,335,28,-1,,others
5,1,2,1,1,1,668,89,335,28,92,EUROCORPORATION,others
2,1,3,0,0,0,742,124,188,8,-1,,others
3,1,3,1,0,0,742,124,188,8,-1,,others
4,1,3,1,1,0,742,124,188,8,-1,,others
5,1,3,1,1,1,742,124,74,8,18,CONSULENZA,others
5,1,3,1,1,2,820,124,5,7,45,E,others
5,1,3,1,1,3,830,124,51,7,61,GESTIONE,others
5,1,3,1,1,4,888,124,42,8,66,RIFIUTL,others
2,1,4,0,0,0,44,258,1578,180,-1,,others
3,1,4,1,0,0,44,258,1578,180,-1,,others
4,1,4,1,1,0,44,258,1578,110,-1,,others
5,1,4,1,1,1,44,258,1578,110,95,  ,others
4,1,4,1,2,0,1070,368,4,37,-1,,others
5,1,4,1,2,1,1070,368,4,37,95, ,others
4,1,4,1,3,0,1070,405,548,33,-1,,others
5,1,4,1,3,1,1070,405,548,33,95, ,others
2,1,5,0,0,0,1094,295,280,37,-1,,others
3,1,5,1,0,0,1094,295,280,37,-1,,others
4,1,5,1,1,0,1094,295,280,37,-1,,others
5,1,5,1,1,1,1094,296,84,36,92,PER,others
5,1,5,1,1,2,1195,295,179,37,89,UFFICIO,others
2,1,6,0,0,0,1090,377,161,19,-1,,others
3,1,6,1,0,0,1090,377,161,19,-1,,others
4,1,6,1,1,0,1090,377,161,19,-1,,others
5,1,6,1,1,1,1090,377,58,19,92,LUPU,produttore_value
5,1,6,1,1,2,1157,378,94,18,96,CATALIN,produttore_value
2,1,7,0,0,0,44,334,1033,178,-1,,others
3,1,7,1,0,0,44,334,1033,178,-1,,others
4,1,7,1,1,0,44,334,213,71,-1,,others
5,1,7,1,1,1,44,334,213,71,95,  ,others
4,1,7,1,2,0,48,405,1029,73,-1,,others
5,1,7,1,2,1,48,405,213,73,95,  ,others
5,1,7,1,2,2,1066,438,11,40,95, ,others
4,1,7,1,3,0,251,478,826,34,-1,,others
5,1,7,1,3,1,251,478,24,34,95,  ,others
5,1,7,1,3,2,1066,478,11,9,95, ,others
