level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
1,1,0,0,0,0,0,0,2480,3509,-1,,others
2,1,1,0,0,0,1138,62,156,62,-1,,others
3,1,1,1,0,0,1138,62,156,62,-1,,others
4,1,1,1,1,0,1138,62,156,62,-1,,others
5,1,1,1,1,1,1138,62,156,62,18,@-,others
2,1,2,0,0,0,1003,134,501,42,-1,,others
3,1,2,1,0,0,1003,134,501,42,-1,,others
4,1,2,1,1,0,1003,134,501,42,-1,,others
5,1,2,1,1,1,1003,134,501,42,91,EUROCORPORATION,others
2,1,3,0,0,0,1115,186,278,11,-1,,others
3,1,3,1,0,0,1115,186,278,11,-1,,others
4,1,3,1,1,0,1115,186,278,11,-1,,others
5,1,3,1,1,1,1115,188,41,9,79,CONS,others
5,1,3,1,1,2,1161,186,62,11,17,ULENEA,others
5,1,3,1,1,3,1231,188,2,9,48,EF,others
5,1,3,1,1,4,1244,188,77,9,90,GESTIONE,others
5,1,3,1,1,5,1333,188,60,9,45,RIFIUTL,others
2,1,4,0,0,0,1138,209,233,92,-1,,others
3,1,4,1,0,0,1138,209,233,92,-1,,others
4,1,4,1,1,0,1138,209,233,92,-1,,others
5,1,4,1,1,1,1138,209,233,92,69,ow,others
2,1,5,0,0,0,73,396,2354,3,-1,,others
3,1,5,1,0,0,73,396,2354,3,-1,,others
4,1,5,1,1,0,73,396,2354,3,-1,,others
5,1,5,1,1,1,73,396,2354,3,95, ,others
2,1,6,0,0,0,73,537,2354,3,-1,,others
3,1,6,1,0,0,73,537,2354,3,-1,,others
4,1,6,1,1,0,73,537,2354,3,-1,,others
5,1,6,1,1,1,73,537,2354,3,95, ,others
2,1,7,0,0,0,73,619,2354,3,-1,,others
3,1,7,1,0,0,73,619,2354,3,-1,,others
4,1,7,1,1,0,73,619,2354,3,-1,,others
5,1,7,1,1,1,73,619,2354,3,95, ,others
2,1,8,0,0,0,73,783,2354,3,-1,,others
3,1,8,1,0,0,73,783,2354,3,-1,,others
4,1,8,1,1,0,73,783,2354,3,-1,,others
5,1,8,1,1,1,73,783,2354,3,95, ,others
2,1,9,0,0,0,73,865,2354,3,-1,,others
3,1,9,1,0,0,73,865,2354,3,-1,,others
4,1,9,1,1,0,73,865,2354,3,-1,,others
5,1,9,1,1,1,73,865,2354,3,95, ,others
2,1,10,0,0,0,73,944,2354,3,-1,,others
3,1,10,1,0,0,73,944,2354,3,-1,,others
4,1,10,1,1,0,73,944,2354,3,-1,,others
5,1,10,1,1,1,73,944,2354,3,95, ,others
2,1,11,0,0,0,383,537,3,492,-1,,others
3,1,11,1,0,0,383,537,3,492,-1,,others
4,1,11,1,1,0,383,537,3,492,-1,,others
5,1,11,1,1,1,383,537,3,492,95, ,others
2,1,12,0,0,0,676,944,3,85,-1,,others
3,1,12,1,0,0,676,944,3,85,-1,,others
4,1,12,1,1,0,676,944,3,85,-1,,others
5,1,12,1,1,1,676,944,3,85,95, ,others
2,1,13,0,0,0,988,944,3,85,-1,,others
3,1,13,1,0,0,988,944,3,85,-1,,others
4,1,13,1,1,0,988,944,3,85,-1,,others
5,1,13,1,1,1,988,944,3,85,95, ,others
2,1,14,0,0,0,73,1026,2354,3,-1,,others
3,1,14,1,0,0,73,1026,2354,3,-1,,others
4,1,14,1,1,0,73,1026,2354,3,-1,,others
5,1,14,1,1,1,73,1026,2354,3,95, ,others
2,1,15,0,0,0,1605,537,3,592,-1,,others
3,1,15,1,0,0,1605,537,3,592,-1,,others
4,1,15,1,1,0,1605,537,3,592,-1,,others
5,1,15,1,1,1,1605,537,3,592,95, ,others
2,1,16,0,0,0,73,1125,2354,5,-1,,others
3,1,16,1,0,0,73,1125,2354,5,-1,,others
4,1,16,1,1,0,73,1125,2354,5,-1,,others
5,1,16,1,1,1,73,1125,2354,5,95, ,others
2,1,17,0,0,0,73,1206,1198,3,-1,,others
3,1,17,1,0,0,73,1206,1198,3,-1,,others
4,1,17,1,1,0,73,1206,1198,3,-1,,others
5,1,17,1,1,1,73,1206,1198,3,95, ,others
2,1,18,0,0,0,326,1126,3,162,-1,,others
3,1,18,1,0,0,326,1126,3,162,-1,,others
4,1,18,1,1,0,326,1126,3,162,-1,,others
5,1,18,1,1,1,326,1126,3,162,95, ,others
2,1,19,0,0,0,775,1126,3,162,-1,,others
3,1,19,1,0,0,775,1126,3,162,-1,,others
4,1,19,1,1,0,775,1126,3,162,-1,,others
5,1,19,1,1,1,775,1126,3,162,95, ,others
2,1,20,0,0,0,73,1284,1198,4,-1,,others
3,1,20,1,0,0,73,1284,1198,4,-1,,others
4,1,20,1,1,0,73,1284,1198,4,-1,,others
5,1,20,1,1,1,73,1284,1198,4,95, ,others
2,1,21,0,0,0,73,1375,1198,4,-1,,others
3,1,21,1,0,0,73,1375,1198,4,-1,,others
4,1,21,1,1,0,73,1375,1198,4,-1,,others
5,1,21,1,1,1,73,1375,1198,4,95, ,others
2,1,22,0,0,0,73,396,4,1044,-1,,others
3,1,22,1,0,0,73,396,4,1044,-1,,others
4,1,22,1,1,0,73,396,4,1044,-1,,others
5,1,22,1,1,1,73,396,4,1044,95, ,others
2,1,23,0,0,0,100,567,2293,846,-1,,others
3,1,23,1,0,0,103,567,1739,27,-1,,others
4,1,23,1,1,0,103,567,1739,27,-1,,others
5,1,23,1,1,1,103,567,235,27,91,PRODUTTORE,produttore_key
5,1,23,1,1,2,413,567,102,27,95,Monica,produttore_value
5,1,23,1,1,3,518,567,101,27,95,Lotti,produttore_value
5,1,23,1,1,4,1296,567,136,27,92,CLIENTE,cliente_key
5,1,23,1,1,5,1635,567,120,27,95,Monica,cliente_value
5,1,23,1,1,6,1771,567,71,27,96,Lotti,cliente_value
3,1,23,2,0,0,103,689,2102,35,-1,,others
4,1,23,2,1,0,103,689,2102,35,-1,,others
5,1,23,2,1,1,103,689,80,28,96,Unit.,unitloc_key
5,1,23,2,1,2,198,691,63,26,96,Loc.,unitloc_key
5,1,23,2,1,3,413,690,121,27,90,LIVORNO,unitloc_value
5,1,23,2,1,4,540,690,46,27,91,-,unitloc_value
5,1,23,2,1,5,601,691,105,33,96,Mayer,unitloc_value
5,1,23,2,1,6,719,690,38,27,96,70,unitloc_value
5,1,23,2,1,7,770,690,102,27,96,57100,unitloc_value
5,1,23,2,1,8,1296,690,176,34,92,Operatore,operatore_key
5,1,23,2,1,9,1635,690,105,27,93,Bianca,operatore_value
5,1,23,2,1,10,1754,689,99,28,91,Zeloni,operatore_value
5,1,23,2,1,11,1867,705,10,3,92,-,operatore_value
5,1,23,2,1,12,1891,689,83,28,96,Mob.,operatore_value
5,1,23,2,1,13,1989,690,59,27,95,333,operatore_value
5,1,23,2,1,14,2061,690,144,27,96,4700455,operatore_value
3,1,23,3,0,0,103,812,1844,28,-1,,others
4,1,23,3,1,0,103,812,1844,28,-1,,others
5,1,23,3,1,1,103,812,167,28,91,Referente,referente_key
5,1,23,3,1,2,413,813,120,27,95,Monica,referente_value
5,1,23,3,1,3,549,813,70,27,96,Lotti,referente_value
5,1,23,3,1,4,1296,813,38,27,92,CF,cfproduttore_key
5,1,23,3,1,5,1347,812,187,28,91,Produttore,cfproduttore_key
5,1,23,3,1,6,1635,812,312,28,12,Lttmnc74d70e6251,cfproduttore_value
3,1,23,4,0,0,100,892,1998,35,-1,,others
4,1,23,4,1,0,100,892,1998,35,-1,,others
5,1,23,4,1,1,100,892,151,28,91,Telefono,telefono_key
5,1,23,4,1,2,412,893,207,27,96,3336768354,telefono_value
5,1,23,4,1,3,1297,892,90,28,96,Email,emailcliente_key
5,1,23,4,1,4,1401,892,117,28,96,Cliente,emailcliente_key
5,1,23,4,1,5,1635,892,463,35,66,lottimonica588@gmail.com,emailcliente_value
3,1,23,5,0,0,103,971,1995,126,-1,,others
4,1,23,5,1,0,103,971,1995,37,-1,,others
5,1,23,5,1,1,103,975,77,26,93,Data,datarichiesta_key
5,1,23,5,1,2,194,973,151,28,90,Richiesta,datarichiesta_key
5,1,23,5,1,3,438,971,197,36,96,24-02-2022,datarichiesta_value
5,1,23,5,1,4,704,973,108,28,92,Orario,orariorichiesta_key
5,1,23,5,1,5,826,973,142,28,92,richiesta,orariorichiesta_key
5,1,23,5,1,6,1089,974,93,27,96,08:00,orariorichiesta_value
5,1,23,5,1,7,1297,973,90,28,92,Email,emailproduttore_key
5,1,23,5,1,8,1402,973,186,28,92,Produttore,emailproduttore_key
5,1,23,5,1,9,0,0,2480,3509,92,|,others
5,1,23,5,1,10,1635,973,463,35,72,lottimonica588@gmail.com,emailproduttore_value
4,1,23,5,2,0,1295,1066,57,26,-1,,others
5,1,23,5,2,1,1295,1066,57,26,67,ZTL,others
3,1,23,6,0,0,103,1147,1626,39,-1,,others
4,1,23,6,1,0,103,1147,1626,39,-1,,others
5,1,23,6,1,1,103,1154,134,28,92,Mattina,mattina_key
5,1,23,6,1,2,343,1154,84,28,97,Dalle,mattina_value
5,1,23,6,1,3,565,1155,93,27,96,08:00,mattina_value
5,1,23,6,1,4,790,1154,65,28,97,Alle,mattina_value
5,1,23,6,1,5,1044,1155,91,27,96,12:00,mattina_value
5,1,23,6,1,6,1286,1148,87,37,96,PER,others
5,1,23,6,1,7,1392,1148,55,37,89,LA,others
5,1,23,6,1,8,1465,1147,264,39,89,LOGISTICA:,others
3,1,23,7,0,0,103,1233,2290,180,-1,,others
4,1,23,7,1,0,103,1233,1654,35,-1,,others
5,1,23,7,1,1,103,1233,192,35,92,Pomeriggio,pomeriggio_key
5,1,23,7,1,2,0,0,2480,3509,95,|,others
5,1,23,7,1,3,343,1233,84,28,95,Dalle,pomeriggio_value
5,1,23,7,1,4,565,1234,91,27,96,14:00,pomeriggio_value
5,1,23,7,1,5,790,1233,65,28,96,Alle,pomeriggio_value
5,1,23,7,1,6,1041,1234,91,27,96,19:00,pomeriggio_value
5,1,23,7,1,7,1295,1234,135,27,91,SCHEDA,others
5,1,23,7,1,8,1444,1235,95,26,93,FATTA,others
5,1,23,7,1,9,1553,1235,45,26,93,DA,others
5,1,23,7,1,10,1611,1235,146,26,92,MATILDE,others
4,1,23,7,2,0,1296,1285,1072,27,-1,,others
5,1,23,7,2,1,1296,1285,181,27,92,CHIAMARE,others
5,1,23,7,2,2,1492,1286,47,26,95,UN,others
5,1,23,7,2,3,1554,1285,138,27,95,GIORNO,others
5,1,23,7,2,4,1706,1286,111,26,96,PRIMA,others
5,1,23,7,2,5,1830,1286,59,26,92,PER,others
5,1,23,7,2,6,1902,1285,169,27,92,CONFERMA,others
5,1,23,7,2,7,2076,1286,119,26,92,DATA,others
5,1,23,7,2,8,2208,1286,15,26,92,E,others
5,1,23,7,2,9,2237,1285,131,27,91,ORARIO,others
4,1,23,7,3,0,1296,1336,1097,27,-1,,others
5,1,23,7,3,1,1296,1336,190,27,92,CONSEGNA,others
5,1,23,7,3,2,1500,1336,15,27,92,1,others
5,1,23,7,3,3,1528,1336,221,27,92,CONTENITORE,others
5,1,23,7,3,4,1754,1337,89,26,93,PER,others
5,1,23,7,3,5,1857,1337,156,26,88,INFETTIVI,others
5,1,23,7,3,6,2029,1337,45,26,92,DA,others
5,1,23,7,3,7,2087,1337,53,26,92,5LT,others
5,1,23,7,3,8,2153,1337,41,26,96,ED,others
5,1,23,7,3,9,2209,1337,45,26,92,DA,others
5,1,23,7,3,10,2266,1336,74,27,92,60LT,others
5,1,23,7,3,11,2352,1336,41,27,96,SU,others
4,1,23,7,4,0,1297,1385,969,28,-1,,others
5,1,23,7,4,1,1297,1386,139,27,91,NOSTRO,others
5,1,23,7,4,2,1450,1386,190,27,89,PASSAGGIO,others
5,1,23,7,4,3,1653,1386,192,27,89,COMPRESO,others
5,1,23,7,4,4,1860,1385,216,28,92,NELL'OFFERTA,others
5,1,23,7,4,5,2074,1387,192,26,92,INFETTIVI,others
2,1,24,0,0,0,1267,396,4,1044,-1,,others
3,1,24,1,0,0,1267,396,4,1044,-1,,others
4,1,24,1,1,0,1267,396,4,1044,-1,,others
5,1,24,1,1,1,1267,396,4,1044,95, ,others
2,1,25,0,0,0,73,1437,1198,3,-1,,others
3,1,25,1,0,0,73,1437,1198,3,-1,,others
4,1,25,1,1,0,73,1437,1198,3,-1,,others
5,1,25,1,1,1,73,1437,1198,3,95, ,others
2,1,26,0,0,0,1295,1437,1118,383,-1,,others
3,1,26,1,0,0,1295,1437,1118,383,-1,,others
4,1,26,1,1,0,1295,1437,450,27,-1,,others
5,1,26,1,1,1,1295,1437,25,27,84,SI,others
5,1,26,1,1,2,1333,1437,115,27,90,TROVA,others
5,1,26,1,1,3,1459,1438,40,26,95,AL,others
5,1,26,1,1,4,1512,1437,113,27,94,PRIMO,others
5,1,26,1,1,5,1639,1437,106,27,96,PIANO,others
4,1,26,1,2,0,1297,1485,1116,37,-1,,others
5,1,26,1,2,1,1297,1485,1116,37,81,"https://www.google.com/maps/@43.5454586,10.3132202,3a,75y",others
4,1,26,1,3,0,1295,1536,1094,37,-1,,others
5,1,26,1,3,1,1295,1536,1094,37,39,",258.11h,81.2t/data=!3m7!1e1!3m5!1spNETodLVhf8j-juOHQTslw!",others
4,1,26,1,4,0,1296,1589,1090,35,-1,,others
5,1,26,1,4,1,1296,1589,1090,35,89,2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%,others
4,1,26,1,5,0,1296,1640,925,35,-1,,others
