,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
0,1,1,0,0,0,0,0,0,1653,2339,-1,,others
1,2,1,1,0,0,0,759,40,104,42,-1,,others
2,3,1,1,1,0,0,759,40,104,42,-1,,others
3,4,1,1,1,1,0,759,40,104,42,-1,,others
4,5,1,1,1,1,1,759,40,104,42,44,a,others
5,2,1,2,0,0,0,669,89,334,28,-1,,others
6,3,1,2,1,0,0,669,89,334,28,-1,,others
7,4,1,2,1,1,0,669,89,334,28,-1,,others
8,5,1,2,1,1,1,669,89,334,28,90,EUROCORPORATION,others
9,2,1,3,0,0,0,759,140,155,61,-1,,others
10,3,1,3,1,0,0,759,140,155,61,-1,,others
11,4,1,3,1,1,0,759,140,155,61,-1,,others
12,5,1,3,1,1,1,759,140,155,61,64,ow,others
13,2,1,4,0,0,0,48,262,1570,6,-1,,others
14,3,1,4,1,0,0,48,262,1570,6,-1,,others
15,4,1,4,1,1,0,48,262,1570,6,-1,,others
16,5,1,4,1,1,1,48,262,1570,6,95, ,others
17,2,1,5,0,0,0,49,356,1569,6,-1,,others
18,3,1,5,1,0,0,49,356,1569,6,-1,,others
19,4,1,5,1,1,0,49,356,1569,6,-1,,others
20,5,1,5,1,1,1,49,356,1569,6,95, ,others
21,2,1,6,0,0,0,68,378,1268,18,-1,,others
22,3,1,6,1,0,0,68,378,1268,18,-1,,others
23,4,1,6,1,1,0,68,378,1268,18,-1,,others
24,5,1,6,1,1,1,68,378,158,18,91,PRODUTTORE,produttore_key
25,5,1,6,1,1,2,0,0,1653,2339,93,|,others
26,5,1,6,1,1,3,274,378,129,18,90,AGRIVIGNA,others
27,5,1,6,1,1,4,411,378,63,18,90,B.D.E.,others
28,5,1,6,1,1,5,483,378,38,18,96,SRL,others
29,5,1,6,1,1,6,864,378,90,18,92,CLIENTE,cliente_key
30,5,1,6,1,1,7,1089,378,111,18,91,AGRIVIGNA,others
31,5,1,6,1,1,8,1203,378,86,18,90,B.D.E.,others
32,5,1,6,1,1,9,1298,378,38,18,96,SRL,others
33,2,1,7,0,0,0,68,443,1425,57,-1,,others
34,3,1,7,1,0,0,68,443,1425,57,-1,,others
35,4,1,7,1,1,0,101,443,1163,20,-1,,others
36,5,1,7,1,1,1,101,460,4,3,5,.,others
37,5,1,7,1,1,2,274,443,133,18,92,CASTELLINA,others
38,5,1,7,1,1,3,416,443,21,18,92,IN,others
39,5,1,7,1,1,4,447,443,90,18,87,CHIANTI,others
40,5,1,7,1,1,5,546,453,7,2,87,-,others
41,5,1,7,1,1,6,561,443,72,18,90,STRADA,others
42,5,1,7,1,1,7,635,443,111,18,90,VICINALE,others
43,5,1,7,1,1,8,749,443,39,18,91,DI,others
44,5,1,7,1,1,9,1150,460,3,3,0,.,others
45,5,1,7,1,1,10,1240,460,24,3,19,a,others
46,4,1,7,1,2,0,68,459,1425,41,-1,,others
47,5,1,7,1,2,1,68,460,54,18,96,Unit.,unitloc_key
48,5,1,7,1,2,2,132,460,42,18,96,Loc.,unitloc_key
49,5,1,7,1,2,3,274,477,115,18,92,GODENANO,others
50,5,1,7,1,2,4,393,477,36,18,96,8,others
51,5,1,7,1,2,5,438,477,68,18,84,53011,others
52,5,1,7,1,2,6,514,477,134,18,83,CASTELLINA,others
53,5,1,7,1,2,7,657,477,20,18,92,IN,others
54,5,1,7,1,2,8,687,477,90,18,92,CHIANTI,others
55,5,1,7,1,2,9,787,476,33,24,73,(SI),others
56,5,1,7,1,2,10,864,460,117,23,91,Operatore,operatore_key
57,5,1,7,1,2,11,1090,459,76,19,92,Natalia,others
58,5,1,7,1,2,12,1175,460,89,18,92,Veracini,others
59,5,1,7,1,2,13,1273,470,7,2,93,-,others
60,5,1,7,1,2,14,1289,459,56,19,96,Mob.,others
61,5,1,7,1,2,15,1354,460,139,18,96,3382652390,others
62,2,1,8,0,0,0,49,520,1569,6,-1,,others
63,3,1,8,1,0,0,49,520,1569,6,-1,,others
64,4,1,8,1,1,0,49,520,1569,6,-1,,others
65,5,1,8,1,1,1,49,520,1569,6,95, ,others
66,2,1,9,0,0,0,49,627,1569,6,-1,,others
67,3,1,9,1,0,0,49,627,1569,6,-1,,others
68,4,1,9,1,1,0,49,627,1569,6,-1,,others
69,5,1,9,1,1,1,49,627,1569,6,95, ,others
70,2,1,10,0,0,0,255,358,2,328,-1,,others
71,3,1,10,1,0,0,255,358,2,328,-1,,others
72,4,1,10,1,1,0,255,358,2,328,-1,,others
