level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
1,1,0,0,0,0,0,0,2480,3509,-1,,others
2,1,1,0,0,0,1138,62,156,62,-1,,others
3,1,1,1,0,0,1138,62,156,62,-1,,others
4,1,1,1,1,0,1138,62,156,62,-1,,others
5,1,1,1,1,1,1138,62,156,62,18,@-,others
2,1,2,0,0,0,1003,134,501,42,-1,,others
3,1,2,1,0,0,1003,134,501,42,-1,,others
4,1,2,1,1,0,1003,134,501,42,-1,,others
5,1,2,1,1,1,1003,134,501,42,91,EUROCORPORATION,others
2,1,3,0,0,0,1115,186,278,11,-1,,others
3,1,3,1,0,0,1115,186,278,11,-1,,others
4,1,3,1,1,0,1115,186,278,11,-1,,others
5,1,3,1,1,1,1115,188,41,9,79,CONS,others
5,1,3,1,1,2,1161,186,62,11,17,ULENEA,others
5,1,3,1,1,3,1231,188,2,9,48,EF,others
5,1,3,1,1,4,1244,188,77,9,90,GESTIONE,others
5,1,3,1,1,5,1333,188,60,9,45,RIFIUTL,others
2,1,4,0,0,0,1138,209,233,92,-1,,others
3,1,4,1,0,0,1138,209,233,92,-1,,others
4,1,4,1,1,0,1138,209,233,92,-1,,others
5,1,4,1,1,1,1138,209,233,92,69,ow,others
2,1,5,0,0,0,73,395,2354,5,-1,,others
3,1,5,1,0,0,73,395,2354,5,-1,,others
4,1,5,1,1,0,73,395,2354,5,-1,,others
5,1,5,1,1,1,73,395,2354,5,95, ,others
2,1,6,0,0,0,73,536,2354,5,-1,,others
3,1,6,1,0,0,73,536,2354,5,-1,,others
4,1,6,1,1,0,73,536,2354,5,-1,,others
5,1,6,1,1,1,73,536,2354,5,95, ,others
2,1,7,0,0,0,73,618,2354,5,-1,,others
3,1,7,1,0,0,73,618,2354,5,-1,,others
4,1,7,1,1,0,73,618,2354,5,-1,,others
5,1,7,1,1,1,73,618,2354,5,95, ,others
2,1,8,0,0,0,73,782,2354,5,-1,,others
3,1,8,1,0,0,73,782,2354,5,-1,,others
4,1,8,1,1,0,73,782,2354,5,-1,,others
5,1,8,1,1,1,73,782,2354,5,95, ,others
2,1,9,0,0,0,73,864,2354,5,-1,,others
3,1,9,1,0,0,73,864,2354,5,-1,,others
4,1,9,1,1,0,73,864,2354,5,-1,,others
5,1,9,1,1,1,73,864,2354,5,95, ,others
2,1,10,0,0,0,73,943,2354,5,-1,,others
3,1,10,1,0,0,73,943,2354,5,-1,,others
4,1,10,1,1,0,73,943,2354,5,-1,,others
5,1,10,1,1,1,73,943,2354,5,95, ,others
2,1,11,0,0,0,383,537,3,492,-1,,others
3,1,11,1,0,0,383,537,3,492,-1,,others
4,1,11,1,1,0,383,537,3,492,-1,,others
5,1,11,1,1,1,383,537,3,492,95, ,others
2,1,12,0,0,0,676,944,3,85,-1,,others
3,1,12,1,0,0,676,944,3,85,-1,,others
4,1,12,1,1,0,676,944,3,85,-1,,others
5,1,12,1,1,1,676,944,3,85,95, ,others
2,1,13,0,0,0,988,944,3,85,-1,,others
3,1,13,1,0,0,988,944,3,85,-1,,others
4,1,13,1,1,0,988,944,3,85,-1,,others
5,1,13,1,1,1,988,944,3,85,95, ,others
2,1,14,0,0,0,73,1025,2354,5,-1,,others
3,1,14,1,0,0,73,1025,2354,5,-1,,others
4,1,14,1,1,0,73,1025,2354,5,-1,,others
5,1,14,1,1,1,73,1025,2354,5,95, ,others
2,1,15,0,0,0,1605,537,3,592,-1,,others
3,1,15,1,0,0,1605,537,3,592,-1,,others
4,1,15,1,1,0,1605,537,3,592,-1,,others
5,1,15,1,1,1,1605,537,3,592,95, ,others
2,1,16,0,0,0,73,1125,2354,5,-1,,others
3,1,16,1,0,0,73,1125,2354,5,-1,,others
4,1,16,1,1,0,73,1125,2354,5,-1,,others
5,1,16,1,1,1,73,1125,2354,5,95, ,others
2,1,17,0,0,0,73,1206,1198,3,-1,,others
3,1,17,1,0,0,73,1206,1198,3,-1,,others
4,1,17,1,1,0,73,1206,1198,3,-1,,others
5,1,17,1,1,1,73,1206,1198,3,95, ,others
2,1,18,0,0,0,326,1126,3,162,-1,,others
3,1,18,1,0,0,326,1126,3,162,-1,,others
4,1,18,1,1,0,326,1126,3,162,-1,,others
5,1,18,1,1,1,326,1126,3,162,95, ,others
2,1,19,0,0,0,775,1126,3,162,-1,,others
3,1,19,1,0,0,775,1126,3,162,-1,,others
4,1,19,1,1,0,775,1126,3,162,-1,,others
5,1,19,1,1,1,775,1126,3,162,95, ,others
2,1,20,0,0,0,73,1284,1198,4,-1,,others
3,1,20,1,0,0,73,1284,1198,4,-1,,others
4,1,20,1,1,0,73,1284,1198,4,-1,,others
5,1,20,1,1,1,73,1284,1198,4,95, ,others
2,1,21,0,0,0,73,1375,1198,4,-1,,others
3,1,21,1,0,0,73,1375,1198,4,-1,,others
4,1,21,1,1,0,73,1375,1198,4,-1,,others
5,1,21,1,1,1,73,1375,1198,4,95, ,others
2,1,22,0,0,0,73,396,4,1044,-1,,others
3,1,22,1,0,0,73,396,4,1044,-1,,others
4,1,22,1,1,0,73,396,4,1044,-1,,others
5,1,22,1,1,1,73,396,4,1044,95, ,others
2,1,23,0,0,0,100,566,2278,847,-1,,others
3,1,23,1,0,0,103,566,1830,35,-1,,others
4,1,23,1,1,0,103,566,1830,35,-1,,others
5,1,23,1,1,1,103,567,235,27,91,PRODUTTORE,produttore_key
5,1,23,1,1,2,411,567,114,34,92,Segreti,produttore_value
5,1,23,1,1,3,539,566,27,28,95,di,produttore_value
5,1,23,1,1,4,581,566,130,28,95,Bellezza,produttore_value
5,1,23,1,1,5,1296,567,136,27,89,CLIENTE,cliente_key
5,1,23,1,1,6,1633,567,114,34,92,Segreti,cliente_value
5,1,23,1,1,7,1761,566,27,28,96,di,cliente_value
5,1,23,1,1,8,1804,566,129,28,96,Bellezza,cliente_value
3,1,23,2,0,0,103,689,2102,35,-1,,others
4,1,23,2,1,0,103,689,2102,35,-1,,others
5,1,23,2,1,1,103,689,80,28,96,Unit.,unitloc_key
5,1,23,2,1,2,198,691,63,26,96,Loc.,unitloc_key
5,1,23,2,1,3,411,690,179,27,85,SCANDICCI,unitloc_value
5,1,23,2,1,4,603,705,10,3,92,-,unitloc_value
5,1,23,2,1,5,628,690,150,33,91,"Dante,20",unitloc_value
5,1,23,2,1,6,791,690,101,27,95,50018,unitloc_value
5,1,23,2,1,7,1296,690,176,34,92,Operatore,operatore_key
5,1,23,2,1,8,1635,690,105,27,93,Bianca,operatore_value
5,1,23,2,1,9,1754,689,99,28,91,Zeloni,operatore_value
5,1,23,2,1,10,1867,705,10,3,92,-,operatore_value
5,1,23,2,1,11,1891,689,83,28,96,Mob.,operatore_value
5,1,23,2,1,12,1989,690,59,27,95,333,operatore_value
5,1,23,2,1,13,2061,690,144,27,96,4700455,operatore_value
3,1,23,3,0,0,103,812,1893,35,-1,,others
4,1,23,3,1,0,103,812,1893,35,-1,,others
5,1,23,3,1,1,103,812,167,28,92,Referente,referente_key
5,1,23,3,1,2,413,814,161,26,91,Francesca,referente_value
5,1,23,3,1,3,588,812,128,35,91,Caniglia,referente_value
5,1,23,3,1,4,1296,813,38,27,93,CF,cfproduttore_key
5,1,23,3,1,5,1347,812,187,28,90,Produttore,cfproduttore_key
5,1,23,3,1,6,1634,813,362,27,91,CNGFNC80H43D612B,cfproduttore_value
3,1,23,4,0,0,100,892,1950,35,-1,,others
4,1,23,4,1,0,100,892,1950,35,-1,,others
5,1,23,4,1,1,100,892,151,28,92,Telefono,telefono_key
5,1,23,4,1,2,412,893,206,27,96,3312255465,telefono_value
5,1,23,4,1,3,1297,892,90,28,96,Email,emailcliente_key
5,1,23,4,1,4,1401,892,117,28,96,Cliente,emailcliente_key
5,1,23,4,1,5,1633,892,383,35,48,francy.pepe80@yahoo.,emailcliente_value
5,1,23,4,1,6,2021,893,29,27,48,it,others
3,1,23,5,0,0,103,971,2121,126,-1,,others
4,1,23,5,1,0,103,971,2121,37,-1,,others
5,1,23,5,1,1,103,975,77,26,93,Data,datarichiesta_key
5,1,23,5,1,2,194,973,151,28,91,Richiesta,datarichiesta_key
5,1,23,5,1,3,440,971,195,36,96,18-02-2022,datarichiesta_value
5,1,23,5,1,4,0,0,2480,3509,93,|,others
5,1,23,5,1,5,704,973,108,28,87,Orario,orariorichiesta_key
5,1,23,5,1,6,826,973,142,28,87,richiesta,orariorichiesta_key
5,1,23,5,1,7,1089,974,93,27,96,09:00,orariorichiesta_value
5,1,23,5,1,8,1297,973,90,28,93,Email,emailproduttore_key
5,1,23,5,1,9,1402,973,186,28,92,Produttore,emailproduttore_key
5,1,23,5,1,10,0,0,2480,3509,91,|,others
5,1,23,5,1,11,1634,973,590,35,70,segretidibellezzafirenze#gmail.com,emailproduttore_value
4,1,23,5,2,0,1295,1058,413,39,-1,,others
5,1,23,5,2,1,1295,1066,57,26,86,ZTL,others
5,1,23,5,2,2,1668,1058,40,39,35,LJ,others
3,1,23,6,0,0,103,1147,1626,39,-1,,others
4,1,23,6,1,0,103,1147,1626,39,-1,,others
5,1,23,6,1,1,103,1154,134,28,92,Mattina,mattina_key
5,1,23,6,1,2,343,1154,84,28,93,Dalle,mattina_value
5,1,23,6,1,3,565,1155,93,27,96,09:00,mattina_value
5,1,23,6,1,4,790,1154,65,28,96,Alle,mattina_value
5,1,23,6,1,5,1044,1155,91,27,96,12:00,mattina_value
5,1,23,6,1,6,1286,1148,87,37,96,PER,others
5,1,23,6,1,7,1392,1148,55,37,93,LA,others
5,1,23,6,1,8,1465,1147,264,39,87,LOGISTICA:,others
3,1,23,7,0,0,103,1233,2275,180,-1,,others
4,1,23,7,1,0,103,1233,1654,35,-1,,others
5,1,23,7,1,1,103,1233,192,35,92,Pomeriggio,pomeriggio_key
5,1,23,7,1,2,0,0,2480,3509,95,|,others
5,1,23,7,1,3,343,1233,84,28,95,Dalle,pomeriggio_value
5,1,23,7,1,4,565,1234,91,27,96,16:00,pomeriggio_value
5,1,23,7,1,5,790,1233,65,28,96,Alle,pomeriggio_value
5,1,23,7,1,6,1041,1234,91,27,96,19:00,pomeriggio_value
5,1,23,7,1,7,1295,1234,135,27,91,SCHEDA,others
5,1,23,7,1,8,1444,1235,95,26,93,FATTA,others
5,1,23,7,1,9,1553,1235,45,26,93,DA,others
5,1,23,7,1,10,1611,1235,146,26,92,MATILDE,others
4,1,23,7,2,0,1296,1285,1072,27,-1,,others
5,1,23,7,2,1,1296,1285,181,27,91,CHIAMARE,others
5,1,23,7,2,2,1492,1286,47,26,95,UN,others
5,1,23,7,2,3,1554,1285,138,27,95,GIORNO,others
5,1,23,7,2,4,1706,1286,111,26,96,PRIMA,others
5,1,23,7,2,5,1830,1286,59,26,93,PER,others
5,1,23,7,2,6,1902,1285,169,27,92,CONFERMA,others
5,1,23,7,2,7,2076,1286,119,26,93,DATA,others
5,1,23,7,2,8,2208,1286,15,26,92,E,others
5,1,23,7,2,9,2237,1285,131,27,91,ORARIO,others
4,1,23,7,3,0,1296,1336,1082,27,-1,,others
5,1,23,7,3,1,1296,1336,190,27,92,CONSEGNA,others
5,1,23,7,3,2,1500,1336,15,27,92,1,others
5,1,23,7,3,3,1528,1336,241,27,88,CONTENITORE,others
5,1,23,7,3,4,1783,1337,45,26,92,DA,others
5,1,23,7,3,5,1841,1336,74,27,91,60LT,others
5,1,23,7,3,6,1928,1337,41,26,95,ED,others
5,1,23,7,3,7,1984,1336,15,27,92,1,others
5,1,23,7,3,8,2013,1336,220,27,92,CONTENITORE,others
5,1,23,7,3,9,2238,1337,50,26,93,DA,others
5,1,23,7,3,10,2290,1337,88,26,86,5LT,others
4,1,23,7,4,0,1297,1385,841,28,-1,,others
5,1,23,7,4,1,1297,1387,60,26,93,PER,others
5,1,23,7,4,2,1371,1387,156,26,85,INFETTIVI,others
5,1,23,7,4,3,1542,1386,174,27,85,COMPRESI,others
5,1,23,7,4,4,1731,1385,237,28,90,NELL'OFFERTA,others
5,1,23,7,4,5,1982,1387,156,26,89,INFETTIVI,others
2,1,24,0,0,0,1267,396,4,1044,-1,,others
3,1,24,1,0,0,1267,396,4,1044,-1,,others
4,1,24,1,1,0,1267,396,4,1044,-1,,others
5,1,24,1,1,1,1267,396,4,1044,95, ,others
2,1,25,0,0,0,73,1437,1198,3,-1,,others
3,1,25,1,0,0,73,1437,1198,3,-1,,others
4,1,25,1,1,0,73,1437,1198,3,-1,,others
5,1,25,1,1,1,73,1437,1198,3,95, ,others
2,1,26,0,0,0,1296,1434,1106,132,-1,,others
3,1,26,1,0,0,1296,1434,1106,132,-1,,others
4,1,26,1,1,0,1297,1434,1105,37,-1,,others
5,1,26,1,1,1,1297,1434,1105,37,87,"https://www.google.com/maps/@43.7539592,11.1912865,3a,39.",others
4,1,26,1,2,0,1296,1485,637,37,-1,,others
5,1,26,1,2,1,1296,1485,637,37,90,"6y,0.05h,95.05t/data=!3m6!1e1!3m4!",others
4,1,26,1,3,0,1298,1538,862,28,-1,,others
5,1,26,1,3,1,1298,1538,862,28,14,1sDr61BLJbWREfOPCbANebXA!2e0!7116384!8i18192,others
2,1,27,0,0,0,1270,1582,1157,6,-1,,others
3,1,27,1,0,0,1270,1582,1157,6,-1,,others
4,1,27,1,1,0,1270,1582,1157,6,-1,,others
5,1,27,1,1,1,1270,1582,1157,6,95, ,others
2,1,28,0,0,0,73,1657,2354,6,-1,,others
